"Inst Time","Flow 2 (gpm)"
09/01/2018 12:00 AM,0
09/01/2018 12:05 AM,0
09/01/2018 12:10 AM,0
09/01/2018 12:15 AM,0
09/01/2018 12:20 AM,0
09/01/2018 12:25 AM,0
09/01/2018 12:30 AM,0
09/01/2018 12:35 AM,0
09/01/2018 12:40 AM,0
09/01/2018 12:45 AM,0
09/01/2018 12:50 AM,0
09/01/2018 12:55 AM,0
09/01/2018 01:00 AM,0
09/01/2018 01:05 AM,0
09/01/2018 01:10 AM,0
09/01/2018 01:15 AM,0
09/01/2018 01:20 AM,0
09/01/2018 01:25 AM,0
09/01/2018 01:30 AM,0
09/01/2018 01:35 AM,0
09/01/2018 01:40 AM,0
09/01/2018 01:45 AM,0
09/01/2018 01:50 AM,0
09/01/2018 01:55 AM,0
09/01/2018 02:00 AM,0
09/01/2018 02:05 AM,0
09/01/2018 02:10 AM,0
09/01/2018 02:15 AM,0
09/01/2018 02:20 AM,0
09/01/2018 02:25 AM,0
09/01/2018 02:30 AM,0
09/01/2018 02:35 AM,0
09/01/2018 02:40 AM,0
09/01/2018 02:45 AM,0
09/01/2018 02:50 AM,0
09/01/2018 02:55 AM,0
09/01/2018 03:00 AM,0
09/01/2018 03:05 AM,0
09/01/2018 03:10 AM,0
09/01/2018 03:15 AM,0
09/01/2018 03:20 AM,0
09/01/2018 03:25 AM,0
09/01/2018 03:30 AM,0
09/01/2018 03:35 AM,0
09/01/2018 03:40 AM,0
09/01/2018 03:45 AM,0
09/01/2018 03:50 AM,0
09/01/2018 03:55 AM,0
09/01/2018 04:00 AM,0
09/01/2018 04:05 AM,0
09/01/2018 04:10 AM,0
09/01/2018 04:15 AM,0
09/01/2018 04:20 AM,0
09/01/2018 04:25 AM,0
09/01/2018 04:30 AM,.000000563071012038563
09/01/2018 04:35 AM,0
09/01/2018 04:40 AM,0
09/01/2018 04:45 AM,0
09/01/2018 04:50 AM,0
09/01/2018 04:55 AM,0
09/01/2018 05:00 AM,0
09/01/2018 05:05 AM,0
09/01/2018 05:10 AM,0
09/01/2018 05:15 AM,0
09/01/2018 05:20 AM,0
09/01/2018 05:25 AM,0
09/01/2018 05:30 AM,0
09/01/2018 05:35 AM,0
09/01/2018 05:40 AM,0
09/01/2018 05:45 AM,0
09/01/2018 05:50 AM,0
09/01/2018 05:55 AM,0
09/01/2018 06:00 AM,0
09/01/2018 06:05 AM,0
09/01/2018 06:10 AM,0
09/01/2018 06:15 AM,0
09/01/2018 06:20 AM,0
09/01/2018 06:25 AM,0
09/01/2018 06:30 AM,.0000813266669865698
09/01/2018 06:35 AM,0
09/01/2018 06:40 AM,0
09/01/2018 06:45 AM,0
09/01/2018 06:50 AM,0
09/01/2018 06:55 AM,0
09/01/2018 07:00 AM,0
09/01/2018 07:05 AM,0
09/01/2018 07:10 AM,0
09/01/2018 07:15 AM,.00000330994862451917
09/01/2018 07:20 AM,0
09/01/2018 07:25 AM,.0000194571548490785
09/01/2018 07:30 AM,.00000932842613110552
09/01/2018 07:35 AM,.00011439724767115
09/01/2018 07:40 AM,.00000932842613110552
09/01/2018 07:45 AM,.000322425039485097
09/01/2018 07:50 AM,.0000548492498637643
09/01/2018 07:55 AM,.0000344132022291888
09/01/2018 08:00 AM,.0000548492498637643
09/01/2018 08:05 AM,.000202323222765699
09/01/2018 08:10 AM,.000478069501696154
09/01/2018 08:15 AM,.000154569235746749
09/01/2018 08:20 AM,.0000813266669865698
09/01/2018 08:25 AM,.000202323222765699
09/01/2018 08:30 AM,.000202323222765699
09/01/2018 08:35 AM,.000154569235746749
09/01/2018 08:40 AM,.000154569235746749
09/01/2018 08:45 AM,.0000813266669865698
09/01/2018 08:50 AM,.00011439724767115
09/01/2018 08:55 AM,.000154569235746749
09/01/2018 09:00 AM,.000154569235746749
09/01/2018 09:05 AM,.000258150277659297
09/01/2018 09:10 AM,.000202323222765699
09/01/2018 09:15 AM,.000258150277659297
09/01/2018 09:20 AM,.000322425039485097
09/01/2018 09:25 AM,.000322425039485097
09/01/2018 09:30 AM,.000322425039485097
09/01/2018 09:35 AM,.000322425039485097
09/01/2018 09:40 AM,.000322425039485097
09/01/2018 09:45 AM,.000202323222765699
09/01/2018 09:50 AM,.000785212789196521
09/01/2018 09:55 AM,.000258150277659297
09/01/2018 10:00 AM,.000258150277659297
09/01/2018 10:05 AM,.000570234784390777
09/01/2018 10:10 AM,.000478069501696154
09/01/2018 10:15 AM,.000395596580347046
09/01/2018 10:20 AM,.000202323222765699
09/01/2018 10:25 AM,.000258150277659297
09/01/2018 10:30 AM,.000202323222765699
09/01/2018 10:35 AM,.000258150277659297
09/01/2018 10:40 AM,.00011439724767115
09/01/2018 10:45 AM,.000570234784390777
09/01/2018 10:50 AM,.000570234784390777
09/01/2018 10:55 AM,.0000813266669865698
09/01/2018 11:00 AM,.000478069501696154
09/01/2018 11:05 AM,.000258150277659297
09/01/2018 11:10 AM,.0000548492498637643
09/01/2018 11:15 AM,.0000813266669865698
09/01/2018 11:20 AM,.0000813266669865698
09/01/2018 11:25 AM,.000202323222765699
09/01/2018 11:30 AM,.0000548492498637643
09/01/2018 11:35 AM,.000154569235746749
09/01/2018 11:40 AM,.000202323222765699
